2023-03-20 17:52:04.574 [DEBU] {40a96d4fd7174e17a2b330722a491202} [  0 ms] [default] [gf-shop] [rows:0  ] SELECT `id`,`pic_url`,`link`,`goods_name`,`goods_id`,`sort`,`created_at`,`updated_at` FROM `position_info` WHERE `deleted_at` IS NULL ORDER BY `created_at` DESC LIMIT 10,10
2023-03-20 17:52:05.579 [DEBU] {281a568bd7174e17a3b330724682a565} [  0 ms] [default] [gf-shop] [rows:0  ] SELECT `id`,`pic_url`,`link`,`goods_name`,`goods_id`,`sort`,`created_at`,`updated_at` FROM `position_info` WHERE `deleted_at` IS NULL ORDER BY `created_at` DESC LIMIT 10,10
2023-03-20 17:52:11.428 [DEBU] {e895f3e7d8174e17a4b330726b1fca81} [  0 ms] [default] [gf-shop] [rows:1  ] SELECT `id`,`pic_url`,`link`,`goods_name`,`goods_id`,`sort`,`created_at`,`updated_at` FROM `position_info` WHERE `deleted_at` IS NULL ORDER BY `created_at` DESC LIMIT 0,1
2023-03-20 17:52:11.429 [DEBU] {e895f3e7d8174e17a4b330726b1fca81} [  0 ms] [default] [gf-shop] [rows:1  ] SELECT COUNT(1) FROM `position_info` WHERE `deleted_at` IS NULL
2023-03-20 17:52:13.193 [DEBU] {98112251d9174e17a5b33072bd9d6ea4} [  1 ms] [default] [gf-shop] [rows:1  ] SELECT `id`,`pic_url`,`link`,`goods_name`,`goods_id`,`sort`,`created_at`,`updated_at` FROM `position_info` WHERE `deleted_at` IS NULL ORDER BY `created_at` DESC LIMIT 0,1
2023-03-20 17:52:13.195 [DEBU] {98112251d9174e17a5b33072bd9d6ea4} [  1 ms] [default] [gf-shop] [rows:1  ] SELECT COUNT(1) FROM `position_info` WHERE `deleted_at` IS NULL
2023-03-20 17:52:14.190 [DEBU] {1858898cd9174e17a6b33072eff7b915} [  1 ms] [default] [gf-shop] [rows:1  ] SELECT `id`,`pic_url`,`link`,`goods_name`,`goods_id`,`sort`,`created_at`,`updated_at` FROM `position_info` WHERE `deleted_at` IS NULL ORDER BY `created_at` DESC LIMIT 0,1
2023-03-20 17:52:14.191 [DEBU] {1858898cd9174e17a6b33072eff7b915} [  1 ms] [default] [gf-shop] [rows:1  ] SELECT COUNT(1) FROM `position_info` WHERE `deleted_at` IS NULL
2023-03-20 17:52:19.430 [DEBU] {a8faeac4da174e17a7b3307241088ccd} [  0 ms] [default] [gf-shop] [rows:1  ] SELECT `id`,`pic_url`,`link`,`goods_name`,`goods_id`,`sort`,`created_at`,`updated_at` FROM `position_info` WHERE `deleted_at` IS NULL ORDER BY `created_at` DESC LIMIT 1,1
2023-03-20 17:52:19.431 [DEBU] {a8faeac4da174e17a7b3307241088ccd} [  0 ms] [default] [gf-shop] [rows:1  ] SELECT COUNT(1) FROM `position_info` WHERE `deleted_at` IS NULL
2023-03-20 17:59:19.353 [DEBU] {60abdd893c184e17e514181bc3f6b26c} [  5 ms] [default] [gf-shop] [rows:9  ] SHOW FULL COLUMNS FROM `position_info`
2023-03-20 17:59:19.357 [DEBU] {60abdd893c184e17e514181bc3f6b26c} [  3 ms] [default] [gf-shop] [rows:1  ] SELECT `id`,`pic_url`,`link`,`goods_name`,`goods_id`,`sort`,`created_at`,`updated_at` FROM `position_info` WHERE `deleted_at` IS NULL ORDER BY `sort` DESC LIMIT 1,1
2023-03-20 17:59:19.362 [DEBU] {60abdd893c184e17e514181bc3f6b26c} [  2 ms] [default] [gf-shop] [rows:1  ] SELECT COUNT(1) FROM `position_info` WHERE `deleted_at` IS NULL
